,prices,address,bed_bath_sqft,links
0,345900.0, 6417 Orange Blossom Way Austin TX 78744 , 4|3|1481 ,6417 Orange Blossom Way Austin TX 78744
1,488900.0, 11600 Sweet Basil Ct Austin TX 78726 , 3|2|1789 ,11600 Sweet Basil Ct Austin TX 78726
2,521300.0, 7805 Peccary Dr Austin TX 78744 , 3|2|1675 ,7805 Peccary Dr Austin TX 78744
3,453100.0, 7712 Marble Crest Dr Austin TX 78747 , 4|3|2400 ,7712 Marble Crest Dr Austin TX 78747
4,389900.0, 4523 Kind Way #233 Austin TX 78725 , 3|3|1302 ,4523 Kind Way #233 Austin TX 78725
5,460900.0, 4508 Duval Rd APT 103 Austin TX 78727 ," 3|3|1466<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- Townhouse for sale</li></ul>",4508 Duval Rd APT 103 Austin TX 78727
6,517900.0, 5816 Grampian Cv Austin TX 78754 , 3|2|1704 ,5816 Grampian Cv Austin TX 78754
7,275000.0, 11801 Arrowmound Pass Del Valle TX 78617 ," 3|2|1117<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",11801 Arrowmound Pass Del Valle TX 78617
8,601200.0, 1513 Constanta Dr Austin TX 78753 , 3|3|2403 ,1513 Constanta Dr Austin TX 78753
9,400000.0, 6425 Marble Creek Loop Austin TX 78747 , 4|3|1481 ,6425 Marble Creek Loop Austin TX 78747
10,950000.0, 4400 Jinx Ave #1 Austin TX 78745 , 3|2|1789 ,4400 Jinx Ave #1 Austin TX 78745
11,699900.0, 2809 Nordham Dr Austin TX 78745 , 3|2|1675 ,2809 Nordham Dr Austin TX 78745
12,372990.0, The Midland Plan Tiermo , 4|3|2400 ,The Midland Plan Tiermo
13,249900.0, 1740 Timber Ridge Rd APT 125 Austin TX 78741 , 3|3|1302 ,1740 Timber Ridge Rd APT 125 Austin TX 78741
14,399000.0, 6204 Wagon Bnd Austin TX 78744 ," 3|3|1466<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- Townhouse for sale</li></ul>",6204 Wagon Bnd Austin TX 78744
15,2500000.0, 1312 Alta Vista Ave Austin TX 78704 , 3|2|1704 ,1312 Alta Vista Ave Austin TX 78704
16,375000.0, 2203 Onion Creek Pkwy UNIT 10 Austin TX 78747 ," 3|2|1117<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",2203 Onion Creek Pkwy UNIT 10 Austin TX 78747
17,525000.0, 9206 Grant Forest Dr Austin TX 78744 , 3|3|2403 ,9206 Grant Forest Dr Austin TX 78744
18,1299999.0, 2207 E 18th St Austin TX 78702 ," 4|3|2188<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",2207 E 18th St Austin TX 78702
19,375000.0, 5801 Abby Ann Ln Austin TX 78747 ," 3|3|1705<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",5801 Abby Ann Ln Austin TX 78747
20,1695000.0, 12711 Trail Driver St Austin TX 78737 , 4|5|3188 ,12711 Trail Driver St Austin TX 78737
21,295000.0, 9009 North Plz UNIT 118 Austin TX 78753 ," 3|3|1872<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",9009 North Plz UNIT 118 Austin TX 78753
22,599900.0, 3410 Clarksburg Dr Austin TX 78745 ," 3|2|1469<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",3410 Clarksburg Dr Austin TX 78745
23,925000.0, 703 W Johanna St Austin TX 78704 ," 2|1|736<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",703 W Johanna St Austin TX 78704
24,645000.0, 9008 Braesgate Cv Austin TX 78717 ," 3|2|2305<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",9008 Braesgate Cv Austin TX 78717
25,525000.0, 12308 Cassady Dr Austin TX 78727 ," 3|2|1750<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",12308 Cassady Dr Austin TX 78727
26,499900.0, 5200 King Charles Dr Austin TX 78724 ," 3|2|1402<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",5200 King Charles Dr Austin TX 78724
27,700000.0, 4102 Peck Ave Austin TX 78751 ," 4|3|2188<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",4102 Peck Ave Austin TX 78751
28,600000.0, 7305 Forest Wood Rd Austin TX 78745 ," 3|3|1705<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",7305 Forest Wood Rd Austin TX 78745
29,499000.0, 12806 Blackfoot Trl Austin TX 78729 , 4|5|3188 ,12806 Blackfoot Trl Austin TX 78729
30,825000.0, 5702 Rising Hills Dr Austin TX 78759 ," 3|3|1872<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",5702 Rising Hills Dr Austin TX 78759
31,699000.0, 1600 Barton Springs Rd UNIT 2403 Austin TX 78704 ," 3|2|1469<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",1600 Barton Springs Rd UNIT 2403 Austin TX 78704
32,549900.0, 8100 S 1st St Austin TX 78748 ," 2|1|736<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",8100 S 1st St Austin TX 78748
33,175000.0, 2124 Burton Dr APT 129 Austin TX 78741 ," 3|2|2305<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",2124 Burton Dr APT 129 Austin TX 78741
34,450000.0, 11320 Conchos River Trl Austin TX 78717 ," 3|2|1750<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",11320 Conchos River Trl Austin TX 78717
35,500000.0, 10801 Pinehurst Dr #B Austin TX 78747 ," 3|2|1402<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",10801 Pinehurst Dr #B Austin TX 78747
36,799000.0, 260 Trinity Hills Dr Austin TX 78737 ," 4|3|2188<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",260 Trinity Hills Dr Austin TX 78737
37,1190000.0, 2105 Nickerson St Austin TX 78704 ," 3|3|1705<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",2105 Nickerson St Austin TX 78704
38,775000.0, 7421 Cordoba Dr Austin TX 78724 , 4|5|3188 ,7421 Cordoba Dr Austin TX 78724
39,585000.0, 11510 Gun Fight Ln Austin TX 78748 ," 3|3|1872<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",11510 Gun Fight Ln Austin TX 78748
40,699000.0, 8307 Avocet Dr Austin TX 78745 ," 3|2|1469<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",8307 Avocet Dr Austin TX 78745
41,425000.0, 8312 Gallatin Dr Austin TX 78736 ," 2|1|736<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",8312 Gallatin Dr Austin TX 78736
42,488990.0, Wilson II Plan Pioneer Crossing East ," 3|2|2305<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",Wilson II Plan Pioneer Crossing East
43,205000.0, 2220 Webberville Rd #221 Austin TX 78702 ," 3|2|1750<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",2220 Webberville Rd #221 Austin TX 78702
44,900000.0, 4427 Banister Ln #1 Austin TX 78745 ," 3|2|1402<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",4427 Banister Ln #1 Austin TX 78745
45,612000.0, 6012 Wilcott Ct Austin TX 78745 ," 4|3|2188<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",6012 Wilcott Ct Austin TX 78745
46,895000.0, 4710 Mount Vernon Dr #A Austin TX 78745 ," 3|3|1705<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",4710 Mount Vernon Dr #A Austin TX 78745
47,450000.0, 9518 Topridge Dr APT 18 Austin TX 78750 , 4|5|3188 ,9518 Topridge Dr APT 18 Austin TX 78750
48,389000.0, 900 S Lamar Blvd APT 306 Austin TX 78704 ," 3|3|1872<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",900 S Lamar Blvd APT 306 Austin TX 78704
49,615000.0, 2101 Kirksey Dr Austin TX 78741 ," 3|2|1469<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",2101 Kirksey Dr Austin TX 78741
50,290000.0, 2520 Quarry Rd APT 307 Austin TX 78703 ," 2|1|736<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",2520 Quarry Rd APT 307 Austin TX 78703
